Слово,Частота,Частота(%)
комнате,35,0.031390%
дела,35,0.031390%
бориса,35,0.031390%
если,34,0.030494%
взял,34,0.030494%
гусар,34,0.030494%
сына,34,0.030494%
почти,34,0.030494%
тогда,34,0.030494%
анны,34,0.030494%
вся,34,0.030494%
свой,34,0.030494%
других,34,0.030494%
ведь,33,0.029597%
крикнул,33,0.029597%
войск,33,0.029597%
наполеон,33,0.029597%
отец,33,0.029597%
главнокомандующего,33,0.029597%
слишком,33,0.029597%
могла,33,0.029597%
неприятеля,33,0.029597%
орудия,33,0.029597%
подле,33,0.029597%
слово,32,0.028700%
указывая,32,0.028700%
сзади,32,0.028700%
on,32,0.028700%
cher,32,0.028700%
посмотрел,32,0.028700%
командира,32,0.028700%
тотчас,32,0.028700%
думаю,32,0.028700%
право,32,0.028700%
полковник,32,0.028700%
говорю,32,0.028700%
комнаты,32,0.028700%
билибин,32,0.028700%
тяжело,32,0.028700%
император,31,0.027803%
ипполит,31,0.027803%
молча,31,0.027803%
всей,31,0.027803%
сиятельство,31,0.027803%
какое,31,0.027803%
государю,31,0.027803%
старик,31,0.027803%
милая,31,0.027803%
стояли,31,0.027803%
одной,31,0.027803%
улыбнулся,31,0.027803%
ко,30,0.026906%
стали,30,0.026906%
понять,30,0.026906%
гостиной,30,0.026906%
виконт,30,0.026906%
сюда,30,0.026906%
русские,30,0.026906%
господа,30,0.026906%
видом,30,0.026906%
смотрели,30,0.026906%
наш,30,0.026906%
dans,30,0.026906%
такое,30,0.026906%
три,29,0.026009%
говорит,29,0.026009%
андрею,29,0.026009%
сердито,29,0.026009%
сделал,29,0.026009%
желая,29,0.026009%
лучше,29,0.026009%
положение,29,0.026009%
понял,29,0.026009%
оглянулся,29,0.026009%
полка,29,0.026009%
ясно,29,0.026009%
своему,29,0.026009%
увидав,28,0.025112%
го,28,0.025112%
votre,28,0.025112%
дома,28,0.025112%
шел,28,0.025112%
лошадей,28,0.025112%
каждый,28,0.025112%
сторону,28,0.025112%
молодого,28,0.025112%
свете,28,0.025112%
однако,28,0.025112%
буду,28,0.025112%
невольно,28,0.025112%
долго,28,0.025112%
оно,28,0.025112%
багратиона,28,0.025112%
действительно,27,0.024215%
bien,27,0.024215%
слезы,27,0.024215%
moi,27,0.024215%
ноги,27,0.024215%
стороны,27,0.024215%
таки,27,0.024215%
должно,27,0.024215%
денисова,27,0.024215%
могли,27,0.024215%
минуты,27,0.024215%
армию,27,0.024215%
отчего,27,0.024215%
prince,27,0.024215%
часто,27,0.024215%
точно,27,0.024215%
хотите,27,0.024215%
деле,27,0.024215%
такие,27,0.024215%
пор,27,0.024215%
рад,27,0.024215%
j,26,0.023319%
та,26,0.023319%
батюшка,26,0.023319%
ближе,26,0.023319%
берг,26,0.023319%
кутузову,26,0.023319%
понимаю,26,0.023319%
приехал,26,0.023319%
вечера,26,0.023319%
ночь,26,0.023319%
сколько,26,0.023319%
этому,26,0.023319%
генералу,26,0.023319%
офицеры,26,0.023319%
коли,26,0.023319%
хоть,26,0.023319%
женщины,26,0.023319%
тихо,26,0.023319%
далеко,26,0.023319%
слышал,26,0.023319%
долгоруков,26,0.023319%
т,25,0.022422%
адъютанта,25,0.022422%
верно,25,0.022422%
вокруг,25,0.022422%
брат,25,0.022422%
вопросительно,25,0.022422%
дороге,25,0.022422%
дорогу,25,0.022422%
дать,25,0.022422%
жерков,25,0.022422%
анатоля,25,0.022422%
оба,25,0.022422%
tres,25,0.022422%
стало,24,0.021525%
ai,24,0.021525%
тоном,24,0.021525%
болконского,24,0.021525%
своею,24,0.021525%
заметил,24,0.021525%
какая,24,0.021525%
подъехал,24,0.021525%
наших,24,0.021525%
офицеров,24,0.021525%
ехать,24,0.021525%
близко,24,0.021525%
армия,24,0.021525%
столь,24,0.021525%
сражение,24,0.021525%
имел,24,0.021525%
едва,24,0.021525%
вошел,24,0.021525%
сидели,24,0.021525%
никого,24,0.021525%
наши,24,0.021525%
жизнь,24,0.021525%
вопрос,24,0.021525%
увидал,23,0.020628%
стол,23,0.020628%
пока,23,0.020628%
дочь,23,0.020628%
тушина,23,0.020628%
именно,23,0.020628%
поспешно,23,0.020628%
спокойно,23,0.020628%
полкового,23,0.020628%
правда,23,0.020628%
деньги,23,0.020628%
времени,23,0.020628%
зная,23,0.020628%
напротив,23,0.020628%
которому,23,0.020628%
почувствовал,23,0.020628%
плечами,23,0.020628%
скоро,23,0.020628%
маленькой,23,0.020628%
иногда,22,0.019731%
мать,22,0.019731%
гостей,22,0.019731%
ah,22,0.019731%
моста,22,0.019731%
повторил,22,0.019731%
строго,22,0.019731%
взгляд,22,0.019731%
встал,22,0.019731%
мгновение,22,0.019731%
россии,22,0.019731%
люблю,22,0.019731%
ехал,22,0.019731%
месте,22,0.019731%
ногу,22,0.019731%
non,22,0.019731%
знаешь,22,0.019731%
дочери,22,0.019731%
богу,22,0.019731%
слегка,22,0.019731%
разве,22,0.019731%
должна,22,0.019731%
son,22,0.019731%
начал,22,0.019731%
положении,22,0.019731%
дня,22,0.019731%
солдата,22,0.019731%
